insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2000-01-20', '2000-02-20', '2000-02-13', '1631661548526', '76824095338', '978-0-18-072205-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1976-08-15', '1976-08-21', '1976-08-20', '7336380191384', '26741085335', '978-0-10-424040-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2015-06-15', '2015-07-16', '2015-07-12', '8421358666618', '42875931628', '978-1-83366-647-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1983-04-24', '1983-04-28', '1983-05-20', '6633291515126', '81497062594', '978-0-12-734925-1');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1981-02-16', '1981-03-03', '1981-03-17', '7981492624772', '80965714357', '978-0-17-630964-0');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2018-07-23', '2018-08-05', '2018-08-22', '3638780367197', '24731605970', '978-1-965353-29-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2003-10-09', '2003-11-08', '2003-11-09', '2344963384769', '58430621717', '978-0-12-658663-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1990-08-13', '1990-09-12', '1990-08-23', '0788990368330', '31657489264', '978-1-85319-864-9');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2014-10-04', '2014-11-04', '2014-10-19', '4753858778572', '79543861048', '978-0-8034-9114-4');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1980-03-12', '1980-03-23', '1980-03-31', '2694914066160', '53960412851', '978-1-391-92835-7');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2020-01-20', '2020-02-18', '2020-02-08', '4239915687969', '74612395891', '978-1-920858-52-0');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2005-05-26', '2005-06-08', '2005-06-17', '9331737587504', '30975841297', '978-1-176-52358-6');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1992-01-28', '1992-02-10', '1992-02-16', '2975749536791', '54129087649', '978-0-426-22156-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2002-07-28', '2002-08-15', '2002-07-31', '7071438061157', '56423901716', '978-1-76010-997-4');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1999-06-13', '1999-06-16', '1999-07-09', '9820502380728', '31269754882', '978-1-62699-196-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1980-05-12', '1980-06-12', '1980-06-07', '5511425000964', '46830912598', '978-0-469-42391-6');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2007-02-16', '2007-02-21', '2007-03-03', '0183130946742', '64107239543', '978-1-69223-527-7');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1970-12-05', '1970-12-25', '1970-12-23', '3259017140156', '79320461813', '978-0-19-812041-4');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2001-05-22', '2001-06-05', '2001-05-30', '2156032291775', '34072195804', '978-1-950494-23-1');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1972-01-31', '1972-02-01', '1972-02-12', '9979690214725', '60581294785', '978-1-70826-926-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1992-07-17', '1992-08-16', '1992-08-10', '9533901323264', '73201956406', '978-1-358-42058-0');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2009-03-27', '2009-04-25', '2009-04-05', '7813508568308', '59173204625', '978-0-350-55717-1');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2008-07-10', '2008-07-21', '2008-07-24', '1184779209112', '71638940584', '978-0-330-41126-4');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2021-06-30', '2021-07-09', '2021-07-26', '0095125225728', '59316087295', '978-0-696-24591-6');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1999-02-18', '1999-02-25', '1999-03-02', '0430637551888', '64182059794', '978-0-645-80041-8');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1996-02-08', '1996-02-17', '1996-03-07', '9047419761765', '60372495800', '978-0-930687-56-4');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2007-05-28', '2007-06-11', '2007-06-06', '5961537703206', '73091426599', '978-1-4442-9918-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2019-07-16', '2019-07-17', '2019-08-07', '6824067160705', '56804329198', '978-1-5492-3818-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1970-09-06', '1970-09-22', '1970-10-03', '2041126433257', '63408957193', '978-0-7983-3397-9');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1988-11-26', '1988-12-25', '1988-12-08', '3860914690165', '97358201450', '978-0-259-11959-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1979-06-02', '1979-06-21', '1979-06-19', '9884894081946', '39418026589', '978-0-242-31567-4');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2008-04-03', '2008-04-11', '2008-05-02', '2490982794444', '43167259809', '978-0-7298-5330-9');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1971-03-15', '1971-03-16', '1971-04-10', '1188535852970', '43180957620', '978-1-4765-8117-0');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2009-02-27', '2009-03-27', '2009-03-15', '7658204787420', '81957603259', '978-1-292-34345-7');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2004-02-09', '2004-02-29', '2004-03-10', '7033098767121', '69354027865', '978-1-177-22963-0');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1971-01-27', '1971-02-25', '1971-02-05', '6207738294297', '16748539048', '978-0-545-86871-6');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1979-10-30', '1979-11-25', '1979-11-25', '3275923780323', '20783946104', '978-0-19-825473-7');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1999-04-18', '1999-05-06', '1999-04-20', '1201496859830', '61325097470', '978-0-17-429347-7');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1985-09-05', '1985-09-29', '1985-10-04', '2961798106061', '31820957659', '978-1-123-24509-7');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2017-03-03', '2017-03-25', '2017-03-04', '0599651694572', '70386294500', '978-0-8208-7243-8');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1971-07-28', '1971-08-05', '1971-08-02', '3944312256564', '38469052160', '978-1-353-04777-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2011-07-14', '2011-08-09', '2011-07-29', '8160445509086', '47061593857', '978-1-143-34759-7');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2021-04-26', '2021-05-04', '2021-05-02', '2126615731585', '82917630540', '978-1-300-04110-8');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2007-11-10', '2007-12-02', '2007-11-15', '5399575892697', '69745081230', '978-1-872913-52-0');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2010-11-01', '2010-11-15', '2010-11-02', '4385517910162', '30594612870', '978-1-376-02966-6');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2015-09-04', '2015-09-06', '2015-10-04', '5441048441519', '91687024502', '978-0-937971-69-7');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2015-08-23', '2015-08-25', '2015-09-20', '1225171367090', '85612740930', '978-0-7292-8494-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1972-07-07', '1972-08-05', '1972-07-30', '2959811200308', '89367502400', '978-1-79755-507-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1988-02-19', '1988-02-25', '1988-03-02', '1626534362743', '47916523043', '978-0-89412-201-9');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1996-12-10', '1996-12-18', '1996-12-11', '4622574885904', '43690182778', '978-1-249-99374-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1970-07-29', '1970-08-28', '1970-08-27', '2916022920586', '54612307844', '978-0-651-97978-8');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1990-05-07', '1990-05-09', '1990-06-06', '3366154126476', '09825763159', '978-1-188-58505-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2015-01-27', '2015-01-31', '2015-01-29', '4222644474849', '94712853646', '978-1-00-298408-6');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1985-02-27', '1985-03-12', '1985-03-18', '5172420158618', '30682147508', '978-0-380-93449-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2013-05-14', '2013-05-17', '2013-05-21', '4928398812578', '71639480501', '978-1-123-02160-8');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2012-04-03', '2012-04-10', '2012-04-17', '9945037898156', '69853714000', '978-1-79011-836-6');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1977-09-26', '1977-10-23', '1977-09-27', '0650506420576', '14732596061', '978-0-662-10912-9');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2020-06-17', '2020-06-18', '2020-07-15', '1649398073556', '58719063466', '978-0-544-64678-0');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2013-03-07', '2013-03-22', '2013-03-09', '8970244432467', '85401972601', '978-0-7320-4038-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2009-01-20', '2009-02-20', '2009-02-03', '3291600956348', '80631245960', '978-1-871120-74-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1986-03-25', '1986-04-21', '1986-04-09', '6734595933019', '72940561370', '978-0-7117-1095-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1986-09-29', '1986-10-21', '1986-10-30', '2264482249533', '86597021401', '978-1-392-59089-8');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1983-10-08', '1983-10-18', '1983-10-11', '9203029780927', '23798540683', '978-0-664-75587-4');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2006-09-07', '2006-09-10', '2006-10-07', '5041364980176', '65307821417', '978-1-303-26556-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2002-07-12', '2002-08-07', '2002-08-06', '4745354177140', '89704213603', '978-0-86260-506-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2016-04-09', '2016-04-27', '2016-05-03', '5363454919775', '60231854790', '978-1-65172-960-1');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1980-05-05', '1980-05-30', '1980-05-10', '6913452583240', '04931567800', '978-1-83137-839-1');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1978-01-16', '1978-02-06', '1978-02-15', '3445241792135', '67123580940', '978-0-9713907-8-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1973-07-06', '1973-07-17', '1973-07-26', '8100360122779', '57428039150', '978-1-167-40348-4');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2001-06-13', '2001-06-28', '2001-07-13', '3919986836985', '36201879595', '978-0-203-07263-9');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1986-10-10', '1986-10-22', '1986-11-01', '2845919367060', '62104853753', '978-0-664-92945-9');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1999-03-07', '1999-04-02', '1999-03-12', '5419332163508', '78405961267', '978-0-930019-08-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2013-03-05', '2013-03-27', '2013-03-14', '2927746767944', '39164705234', '978-1-78593-444-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1981-05-15', '1981-05-20', '1981-05-31', '5155990900078', '50961847301', '978-0-7678-6154-0');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('1996-11-03', '1996-11-19', '1996-11-05', '0864866741954', '30687594120', '978-1-4096-0309-2');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2012-05-30', '2012-06-08', '2012-06-01', '4529426528548', '76450238992', '978-0-10-388056-3');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2004-03-14', '2004-03-31', '2004-03-16', '5537562582231', '28450769167', '978-1-898725-14-5');
insert into `livros_emprestados` (data_expedido, data_limite, data_retornado, id_contrato, cpf, isbn) values ('2007-02-02', '2007-02-06', '2007-02-20', '7822566699619', '40168925702', '978-1-4725-8315-4');
